Oblast,x,y
Cherkasy Oblast,-50.0,63.0
Chernihiv Oblast,3.0,283.0
Chernivtsi Oblast,-327.0,-15.0
Crimea,166.0,-293.0
Dnipropetrovsk Oblast,168.0,1.0
Donetsk Oblast,354.0,-43.0
Ivano-Frankivsk Oblast,-403.0,26.0
Kharkiv Oblast,298.0,114.0
Kherson Oblast,93.0,-165.0
Khmelnytskyi Oblast,-268.0,107.0
Kirovohrad Oblast,-31.0,3.0
Kyiv Oblast,-66.0,153.0
Luhansk Oblast,438.0,87.0
Lviv Oblast,-458.0,127.0
Mykolaiv Oblast,-3.0,-62.0
Odesa Oblast,-90.0,-109.0
Poltava Oblast,108.0,131.0
Rivne Oblast,-270.0,253.0
Sumy Oblast,139.0,241.0
Ternopil Oblast,-350.0,96.0
Vinnytsia Oblast,-190.0,56.0
Volyn Oblast,-396.0,262.0
Zaporizhzhia Oblast,241.0,-124.0
Zakarpattia Oblast,-494.0,-1.0
Zhytomyr Oblast,-165.0,213.0
Kyiv,-43.0,194.0
